Time Instance,Price
01-01-02|23:07:00,1.4933
01-01-02|23:12:00,1.4930
01-01-02|23:14:00,1.4928
01-01-02|23:45:00,1.4923
01-01-02|23:46:00,1.4932
01-01-02|23:49:00,1.4928
01-01-02|23:50:00,1.4927
01-01-02|23:51:00,1.4927
01-01-02|23:52:00,1.4927
01-01-02|23:53:00,1.4927
01-01-02|23:54:00,1.4925
01-01-02|23:55:00,1.4925
01-01-02|23:57:00,1.4924
01-01-03|00:03:00,1.4925
01-01-03|00:09:00,1.4926
01-01-03|00:11:00,1.4925
01-01-03|00:27:00,1.4924
01-01-03|00:29:00,1.4925
01-01-03|00:30:00,1.4924
01-01-03|00:31:00,1.4925
01-01-03|00:32:00,1.4925
01-01-03|00:33:00,1.4925
01-01-03|00:38:00,1.4925
01-01-03|00:42:00,1.4925
01-01-03|00:43:00,1.4925
01-01-03|00:44:00,1.4925
01-01-03|00:45:00,1.4925
01-01-03|00:46:00,1.4925
01-01-03|00:47:00,1.4925
01-01-03|00:48:00,1.4925
01-01-03|00:49:00,1.4930
01-01-03|00:50:00,1.4933
01-01-03|00:51:00,1.4934
01-01-03|00:52:00,1.4934
01-01-03|00:55:00,1.4934
01-01-03|00:57:00,1.4934
01-01-03|01:00:00,1.4934
01-01-03|01:01:00,1.4934
01-01-03|01:02:00,1.4932
01-01-03|01:03:00,1.4932
01-01-03|01:04:00,1.4933
01-01-03|01:05:00,1.4932
01-01-03|01:06:00,1.4932
01-01-03|01:07:00,1.4932
01-01-03|01:08:00,1.4932
01-01-03|01:10:00,1.4932
01-01-03|01:11:00,1.4932
01-01-03|01:12:00,1.4932
01-01-03|01:13:00,1.4931
01-01-03|01:14:00,1.4933
01-01-03|01:15:00,1.4933
01-01-03|01:17:00,1.4933
