Time Instance,Price
1,1.3004
2,1.30042
3,1.30045
4,1.30058
5,1.30052
6,1.30041
7,1.30045
8,1.3005
9,1.30046
10,1.30044
11,1.30044
12,1.30044
13,1.30046
14,1.30036
15,1.30047
16,1.30037
17,1.30046
18,1.3005
19,1.3005
20,1.30037
21,1.30039
22,1.30043
23,1.30032
24,1.3004
25,1.30044
26,1.30043
27,1.30039
28,1.30039
29,1.30038
30,1.3004
31,1.3005
32,1.30039
33,1.30048
34,1.30049
35,1.30049
36,1.30043
37,1.30041
38,1.30045
39,1.30041
40,1.30044
41,1.30039
42,1.30042
43,1.30042
44,1.30035
45,1.30057
46,1.30066
47,1.30062
48,1.30074
49,1.30061
50,1.30061
51,1.30059
52,1.30056
53,1.30061
54,1.30047
55,1.30045
56,1.30045
57,1.30052
58,1.30051
59,1.30042
